date,meantemp
2013-01-01,0.122271
2013-01-02,0.042795
2013-01-03,0.035662
2013-01-04,0.081514
2013-01-05,0.000000
2013-01-06,0.030568
2013-01-07,0.030568
2013-01-08,0.087336
2013-01-09,0.244541
2013-01-10,0.152838
2013-01-11,0.296943
2013-01-12,0.244541
2013-01-13,0.300582
2013-01-14,0.208879
2013-01-15,0.266376
2013-01-16,0.239447
2013-01-17,0.320961
2013-01-18,0.239447
2013-01-19,0.198690
2013-01-20,0.161572
2013-01-21,0.158952
2013-01-22,0.106987
2013-01-23,0.244541
2013-01-24,0.239447
2013-01-25,0.191048
2013-01-26,0.203785
2013-01-27,0.209607
2013-01-28,0.270015
2013-01-29,0.248362
2013-01-30,0.266376
2013-01-31,0.311790
2013-02-01,0.305677
2013-02-02,0.314410
2013-02-03,0.366812
2013-02-04,0.349345
2013-02-05,0.324782
2013-02-06,0.326055
2013-02-07,0.293450
2013-02-08,0.244541
2013-02-09,0.288210
2013-02-10,0.282751
2013-02-11,0.301856
2013-02-12,0.285298
2013-02-13,0.314410
2013-02-14,0.346434
2013-02-15,0.402475
2013-02-16,0.257642
2013-02-17,0.234352
2013-02-18,0.293450
2013-02-19,0.301310
2013-02-20,0.358079
2013-02-21,0.427948
2013-02-22,0.443231
2013-02-23,0.349345
2013-02-24,0.331878
2013-02-25,0.332424
2013-02-26,0.362445
2013-02-27,0.452402
2013-02-28,0.410480
2013-03-01,0.346434
2013-03-02,0.397380
2013-03-03,0.407569
2013-03-04,0.354585
2013-03-05,0.454694
2013-03-06,0.454148
2013-03-07,0.532751
2013-03-08,0.555313
2013-03-09,0.593886
2013-03-10,0.524017
2013-03-11,0.550218
2013-03-12,0.534934
2013-03-13,0.473799
2013-03-14,0.499272
2013-03-15,0.555313
2013-03-16,0.438137
2013-03-17,0.509461
2013-03-18,0.532751
2013-03-19,0.504367
2013-03-20,0.708151
2013-03-21,0.545124
2013-03-22,0.588428
2013-03-23,0.653384
2013-03-24,0.641921
2013-03-25,0.534934
2013-03-26,0.554585
2013-03-27,0.458515
2013-03-28,0.502183
2013-03-29,0.466157
2013-03-30,0.534934
2013-03-31,0.525764
2013-04-01,0.592249
2013-04-02,0.585881
2013-04-03,0.617467
2013-04-04,0.568559
2013-04-05,0.599127
2013-04-06,0.606987
2013-04-07,0.707424
2013-04-08,0.694323
2013-04-09,0.738719
2013-04-10,0.733624
2013-04-11,0.733624
2013-04-12,0.698690
2013-04-13,0.739738
2013-04-14,0.680131
2013-04-15,0.680131
2013-04-16,0.798581
2013-04-17,0.709170
2013-04-18,0.742358
2013-04-19,0.681223
2013-04-20,0.752729
2013-04-21,0.662300
2013-04-22,0.653384
2013-04-23,0.691594
2013-04-24,0.742358
2013-04-25,0.768559
2013-04-26,0.729803
2013-04-27,0.768559
2013-04-28,0.751092
2013-04-29,0.798581
2013-04-30,0.768559
2013-05-01,0.790393
2013-05-02,0.728530
2013-05-03,0.689956
2013-05-04,0.820961
2013-05-05,0.813865
2013-05-06,0.817686
2013-05-07,0.821507
2013-05-08,0.871179
2013-05-09,0.864629
2013-05-10,0.855895
2013-05-11,0.756550
2013-05-12,0.729258
2013-05-13,0.786026
2013-05-14,0.803493
2013-05-15,0.825328
2013-05-16,0.825328
2013-05-17,0.820233
2013-05-18,0.776419
2013-05-19,0.896652
2013-05-20,0.929258
2013-05-21,0.917031
2013-05-22,0.939956
2013-05-23,0.962882
2013-05-24,0.991266
2013-05-25,1.000000
2013-05-26,0.972052
2013-05-27,0.912664
2013-05-28,0.896652
2013-05-29,0.860262
2013-05-30,0.800873
2013-05-31,0.844432
2013-06-01,0.794760
2013-06-02,0.806987
2013-06-03,0.904803
2013-06-04,0.912664
2013-06-05,0.952693
2013-06-06,0.772926
2013-06-07,0.855895
2013-06-08,0.862009
2013-06-09,0.922125
2013-06-10,0.936135
2013-06-11,0.738719
2013-06-12,0.860262
2013-06-13,0.728530
2013-06-14,0.737991
2013-06-15,0.755459
2013-06-16,0.641921
2013-06-17,0.638100
2013-06-18,0.684716
2013-06-19,0.729258
2013-06-20,0.825328
2013-06-21,0.881368
2013-06-22,0.904803
2013-06-23,0.891557
2013-06-24,0.829694
2013-06-25,0.751092
2013-06-26,0.754003
2013-06-27,0.777293
2013-06-28,0.779476
2013-06-29,0.832969
2013-06-30,0.820233
2013-07-01,0.851528
2013-07-02,0.829694
2013-07-03,0.781659
2013-07-04,0.806223
2013-07-05,0.819214
2013-07-06,0.764192
2013-07-07,0.769287
2013-07-08,0.728530
2013-07-09,0.703057
2013-07-10,0.725983
2013-07-11,0.810044
2013-07-12,0.699236
2013-07-13,0.787118
2013-07-14,0.756550
2013-07-15,0.787118
2013-07-16,0.729803
2013-07-17,0.768013
2013-07-18,0.787118
2013-07-19,0.748908
2013-07-20,0.636827
2013-07-21,0.678603
2013-07-22,0.718341
2013-07-23,0.790393
2013-07-24,0.724891
2013-07-25,0.682678
2013-07-26,0.733624
2013-07-27,0.737991
2013-07-28,0.803493
2013-07-29,0.764192
2013-07-30,0.748908
2013-07-31,0.697962
2013-08-01,0.733624
2013-08-02,0.781659
2013-08-03,0.810044
2013-08-04,0.810044
2013-08-05,0.718341
2013-08-06,0.647016
2013-08-07,0.683952
2013-08-08,0.687773
2013-08-09,0.647016
2013-08-10,0.716157
2013-08-11,0.733624
2013-08-12,0.718341
2013-08-13,0.756550
2013-08-14,0.723435
2013-08-15,0.663755
2013-08-16,0.629694
2013-08-17,0.655022
2013-08-18,0.682678
2013-08-19,0.677584
2013-08-20,0.653384
2013-08-21,0.682678
2013-08-22,0.708151
2013-08-23,0.772926
2013-08-24,0.794760
2013-08-25,0.703057
2013-08-26,0.794760
2013-08-27,0.799127
2013-08-28,0.737991
2013-08-29,0.779476
2013-08-30,0.708151
2013-08-31,0.703057
2013-09-01,0.733624
2013-09-02,0.790393
2013-09-03,0.817686
2013-09-04,0.786026
2013-09-05,0.784571
2013-09-06,0.751092
2013-09-07,0.759098
2013-09-08,0.672489
2013-09-09,0.764192
2013-09-10,0.723435
2013-09-11,0.759825
2013-09-12,0.769287
2013-09-13,0.768559
2013-09-14,0.748908
2013-09-15,0.783297
2013-09-16,0.723435
2013-09-17,0.710699
2013-09-18,0.707424
2013-09-19,0.727511
2013-09-20,0.692868
2013-09-21,0.586900
2013-09-22,0.682678
2013-09-23,0.742358
2013-09-24,0.756550
2013-09-25,0.689956
2013-09-26,0.678603
2013-09-27,0.703057
2013-09-28,0.733624
2013-09-29,0.676856
2013-09-30,0.637555
2013-10-01,0.681223
2013-10-02,0.709170
2013-10-03,0.690830
2013-10-04,0.575691
2013-10-05,0.687773
2013-10-06,0.725983
2013-10-07,0.724891
2013-10-08,0.709170
2013-10-09,0.759098
2013-10-10,0.716157
2013-10-11,0.545852
2013-10-12,0.615721
2013-10-13,0.647016
2013-10-14,0.663755
2013-10-15,0.606987
2013-10-16,0.624454
2013-10-17,0.637555
2013-10-18,0.621543
2013-10-19,0.567686
2013-10-20,0.560408
2013-10-21,0.576965
2013-10-22,0.666376
2013-10-23,0.580786
2013-10-24,0.545852
2013-10-25,0.513537
2013-10-26,0.519651
2013-10-27,0.515830
2013-10-28,0.509461
2013-10-29,0.519651
2013-10-30,0.515284
2013-10-31,0.540029
2013-11-01,0.532751
2013-11-02,0.477620
2013-11-03,0.447052
2013-11-04,0.463610
2013-11-05,0.392285
2013-11-06,0.445415
2013-11-07,0.432314
2013-11-08,0.366812
2013-11-09,0.423581
2013-11-10,0.331150
2013-11-11,0.393013
2013-11-12,0.323144
2013-11-13,0.359170
2013-11-14,0.355349
2013-11-15,0.336245
2013-11-16,0.324782
2013-11-17,0.292576
2013-11-18,0.382096
2013-11-19,0.362991
2013-11-20,0.374454
2013-11-21,0.362991
2013-11-22,0.355349
2013-11-23,0.371179
2013-11-24,0.401201
2013-11-25,0.466157
2013-11-26,0.466157
2013-11-27,0.401201
2013-11-28,0.385917
2013-11-29,0.359170
2013-11-30,0.362991
2013-12-01,0.366812
2013-12-02,0.343886
2013-12-03,0.351528
2013-12-04,0.340611
2013-12-05,0.340611
2013-12-06,0.309498
2013-12-07,0.305677
2013-12-08,0.320961
2013-12-09,0.309498
2013-12-10,0.290393
2013-12-11,0.324782
2013-12-12,0.359170
2013-12-13,0.340611
2013-12-14,0.310044
2013-12-15,0.290393
2013-12-16,0.282751
2013-12-17,0.267467
2013-12-18,0.271288
2013-12-19,0.309498
2013-12-20,0.286572
2013-12-21,0.267467
2013-12-22,0.282751
2013-12-23,0.252183
2013-12-24,0.229258
2013-12-25,0.234352
2013-12-26,0.187227
2013-12-27,0.179585
2013-12-28,0.149017
2013-12-29,0.139738
2013-12-30,0.194869
2013-12-31,0.259825
2014-01-01,0.225437
2014-01-02,0.152838
2014-01-03,0.198690
2014-01-04,0.210153
2014-01-05,0.194869
2014-01-06,0.165939
2014-01-07,0.187773
2014-01-08,0.179585
2014-01-09,0.208879
2014-01-10,0.194869
2014-01-11,0.187227
2014-01-12,0.210153
