date,meantemp
2017-02-09,15.097593
2017-02-10,14.665943
2017-02-11,14.882846
2017-02-12,14.726615
2017-02-13,14.706432
2017-02-14,15.552810
2017-02-15,15.698366
2017-02-16,16.184461
2017-02-17,17.404017
2017-02-18,18.295028
2017-02-19,17.214219
2017-02-20,17.410957
2017-02-21,18.409216
2017-02-22,18.513083
2017-02-23,19.086764
2017-02-24,20.002544
2017-02-25,20.424398
2017-02-26,20.877337
2017-02-27,22.226650
2017-02-28,23.762910
2017-03-01,23.623832
2017-03-02,23.824937
2017-03-03,24.033907
2017-03-04,24.102701
2017-03-05,24.213605
2017-03-06,24.715556
2017-03-07,24.705973
2017-03-08,24.469447
2017-03-09,24.044134
2017-03-10,24.034727
2017-03-11,23.091253
2017-03-12,22.060723
2017-03-13,22.224330
2017-03-14,21.683784
2017-03-15,21.794455
2017-03-16,22.595374
2017-03-17,22.904492
2017-03-18,23.536764
2017-03-19,24.635222
2017-03-20,25.039478
2017-03-21,25.380535
2017-03-22,24.853616
2017-03-23,24.718274
2017-03-24,24.677439
2017-03-25,24.889065
2017-03-26,25.273852
2017-03-27,25.661042
2017-03-28,26.162480
2017-03-29,27.200957
2017-03-30,27.978540
2017-03-31,28.417293
2017-04-01,28.693893
2017-04-02,28.604941
2017-04-03,28.297571
2017-04-04,28.116716
2017-04-05,27.956517
2017-04-06,27.571397
2017-04-07,27.167243
2017-04-08,26.989780
2017-04-09,26.970602
2017-04-10,27.184056
2017-04-11,27.687470
2017-04-12,28.504088
2017-04-13,29.380740
2017-04-14,30.227708
2017-04-15,31.241033
2017-04-16,32.119791
2017-04-17,32.344997
2017-04-18,32.689712
2017-04-19,32.923080
2017-04-20,32.827687
2017-04-21,32.771164
2017-04-22,32.792986
2017-04-23,32.764819
2017-04-24,32.661882
